track_id,query_frame,target_frame,query_x_um,query_y_um,query_z_slice,target_x_um,target_y_um,target_z_slice
0,4,5,55.22300618,51.8190058,2,53.52100599,50.30100563,4
1,4,5,55.03900616,53.70500601,2,53.52100599,51.91100581,4
2,4,5,53.38300598,50.07100561,3,51.68100579,47.26500529,4
3,4,5,55.26900619,54.99300616,1,53.65900601,53.01500594,3
4,4,5,58.67300657,53.10700595,2,57.1550064,51.40500576,4
8,4,5,55.49900622,48.92100548,3,53.567006,46.34500519,4
10,4,5,58.99500661,48.55300544,2,57.06300639,46.48300521,5
11,4,5,58.30500653,50.43900565,2,57.06300639,47.88600536,5
12,4,5,58.65000657,47.02350527,4,56.92500638,44.608505,5
13,4,5,55.61400623,45.67800512,4,53.68200601,44.05650493,5
14,4,5,59.44350666,44.608505,4,57.33900642,42.8490048,5
16,4,5,58.78800658,42.71100478,5,57.71850646,40.81350457,5
17,4,5,55.89000626,43.64250489,5,54.19950607,41.29650463,5
18,4,5,55.30350619,40.12350449,5,53.613006,38.26050429,5
19,4,5,55.54500622,38.67450433,5,53.85450603,36.91500413,5
21,4,5,54.57900611,35.94900403,6,53.50950599,33.77550378,6
22,4,5,49.51900555,25.23100283,11,50.76100569,25.96700291,12
23,4,5,41.1010046,17.73300199,14,39.81300446,16.26100182,15
24,4,5,48.96700548,24.49500274,12,49.24300552,24.67900276,12
26,4,5,55.63700623,25.69100288,11,56.05100628,25.50700286,11
27,4,5,52.55500589,23.52900264,12,53.88900604,22.10300248,11
28,4,5,53.84300603,25.04700281,12,54.39500609,23.66700265,11
32,4,5,45.83900513,13.45500151,16,43.81500491,11.66100131,16
34,4,5,40.59500455,13.54700152,19,38.75500434,12.12100136,19
35,4,5,47.30264166,37.60082239,3,45.8306415,35.12518575,3
36,4,5,46.70045978,35.12518575,2,45.29536871,32.85027641,3
39,4,5,42.48518658,37.4670042,2,41.5484592,34.99136756,4
48,4,5,45.6968233,32.78336731,4,43.55573215,30.84300345,3
49,4,5,44.15791404,28.36736681,4,42.61900477,26.62773026,5
50,4,5,43.75645945,27.49754853,5,42.08373199,25.35645739,5
52,4,5,45.09464141,30.44154886,4,43.22118666,28.43427591,5
53,4,5,38.87209526,26.15936657,6,38.20300428,25.95863927,6
54,4,5,42.01682289,21.87718427,7,40.94627731,23.28227533,5
56,4,5,34.52300387,16.99282009,9,33.251731,15.85536541,9
57,4,5,35.92809493,18.13027476,8,34.38918567,16.59136549,9
58,4,5,31.24445804,19.13391123,9,29.23718509,17.26045648,9
59,4,5,39.54118625,16.5244564,8,37.1324587,14.85172894,8
62,4,5,33.251731,15.38700172,11,31.71282173,13.44663787,11
63,4,5,31.84663993,12.175365,11,29.23718509,10.16809205,11
64,4,5,34.52300387,11.90772861,11,32.78336731,11.17172852,11
65,4,5,34.25536747,9.432091965,11,32.31500362,7.55863721,11
66,4,5,31.31136714,10.03427385,11,29.23718509,7.692455407,11
67,4,5,32.85027641,7.357909915,11,31.31136714,6.019727947,11
