track_id,query_frame,target_frame,query_x_um,query_y_um,query_z_slice,target_x_um,target_y_um,target_z_slice
0,4,5,46.57500521640059,31.7630035574564,10.0,45.10300505153656,39.1230043817765,9.0
1,4,5,45.10300505153656,30.475003413200387,11.0,43.99900492788855,37.74300422721648,9.0
3,4,5,48.967005484304615,32.49900363988841,9.0,47.679005340048604,41.05500459816052,9.0
4,4,5,51.26700574190465,30.475003413200387,9.0,50.07100560795263,38.47900430964848,9.0
5,4,5,49.05900549460862,29.83100334107237,9.0,48.41500542248061,37.37500418600047,9.0
7,4,5,53.337005973744674,32.085003593520405,9.0,52.37100586555266,39.72100444875251,9.0
9,4,5,55.22300618497669,35.67300399537645,9.0,52.73900590676866,43.17100483515255,9.0
11,4,5,59.36300664865674,34.79900389748844,8.0,57.61500645288073,42.66500477848053,8.0
12,4,5,60.46700677230476,36.40900407780845,8.0,58.76500658168074,44.45900497940856,8.0
16,4,5,67.04082569039066,35.79427673623172,8.0,66.30482560795866,44.82700502062456,8.0
17,4,5,44.82700502062456,26.28900294436833,10.0,43.21700484030454,32.95900369140842,10.0
18,4,5,42.34300474241654,26.93300301649634,12.0,40.411004526032514,34.201003830512434,10.0
19,4,5,43.03300481969655,23.391002619792296,11.0,41.05500459816052,30.10700337198438,10.0
21,4,5,32.453003634736405,19.205002150960244,13.0,31.119003485328392,26.105002923760328,13.0
22,4,5,39.2610043972325,18.33100205307223,13.0,37.97300425297647,25.23100282587232,11.0
23,4,5,37.23700417054447,16.49100184699221,13.0,35.99500403144046,23.345002614640293,11.0
25,4,5,30.88900345956839,16.399001836688207,12.0,29.739003330768377,22.931002568272287,13.0
26,4,5,31.349003511088394,14.743001651216185,12.0,29.279003279248368,21.919002454928275,11.0
29,4,5,33.92500379960043,14.605001635760184,12.0,33.32700373262442,21.45900240340827,11.0
30,4,5,33.55700375838442,13.40900150180817,12.0,32.13100359867241,20.447002290064265,11.0
31,4,5,31.5790035368484,12.489001398768158,12.0,29.785003335920376,18.46900206852823,11.0
32,4,5,23.391002619792296,10.741001202992134,12.0,21.45900240340827,17.549001965488223,12.0
34,4,5,24.49500274344031,11.84500132664015,12.0,24.0350026919203,18.791002104592238,12.0
36,4,5,23.62100264555229,7.429000832048094,11.0,22.425002511600283,14.23700159454418,11.0
37,4,5,22.425002511600283,6.877000770224087,12.0,21.45900240340827,13.685001532720174,12.0
