track_id,query_frame,target_frame,query_x_um,query_y_um,query_z_slice,target_x_um,target_y_um,target_z_slice
0,4,5,44.61556676,55.39516678,0,35.03370007,30.24276673,1
1,4,5,41.57516675,56.96143345,1,32.45396673,32.17756673,1
2,4,5,45.26050009,56.96143345,1,36.59996674,32.0854334,2
3,4,5,46.36610009,60.73890012,1,37.61343341,37.06063341,2
4,4,5,47.19530009,63.31863346,0,38.25836674,39.36396675,2
5,4,5,49.03796676,66.63543347,1,40.19316675,41.48303342,2
7,4,5,49.22223343,68.84663347,0,40.93023342,44.61556676,2
8,4,5,50.2357001,70.04436681,1,41.11450008,46.45823343,2
13,4,5,45.07623342,65.6219668,1,35.58650007,41.11450008,2
14,4,5,43.41783342,63.50290013,1,34.8494334,39.17970008,2
16,4,5,46.27396676,68.57023347,1,37.06063341,44.24703342,2
19,4,5,42.22010008,58.80410012,1,33.4674334,33.7438334,1
20,4,5,40.10103341,54.28956678,0,30.33490006,29.41356673,1
22,4,5,42.68076675,50.88063344,0,32.9146334,26.46530005,1
23,4,5,41.85156675,47.65596676,0,32.3618334,22.96423338,1
24,4,5,39.36396675,40.93023342,0,30.70343339,16.60703337,1
25,4,5,41.29876675,43.78636675,0,31.2562334,19.73956671,1
26,4,5,37.61343341,45.99756676,1,28.40010006,21.58223338,0
28,4,5,36.59996674,42.68076675,1,27.38663339,17.98903337,1
30,4,5,38.35050008,36.96850007,1,29.32143339,12.18463336,1
32,4,5,34.0202334,34.8494334,2,24.53050005,10.80263335,1
33,4,5,37.15276674,34.0202334,1,28.12370006,8.959966685,1
34,4,5,33.83596673,30.51916673,2,24.43836672,6.103833346,1
