track_id,query_frame,target_frame,query_x_um,query_y_um,query_z_slice,target_x_um,target_y_um,target_z_slice
0,3,4,36.71722735,32.3618334,1,44.61556676,55.39516678,0
1,3,4,34.8494334,34.0202334,1,41.57516675,56.96143345,1
2,3,4,37.42916674,34.2966334,1,45.26050009,56.96143345,1
3,3,4,38.71903341,38.81116674,1,46.36610009,60.73890012,1
4,3,4,39.36396675,40.83810008,1,47.19530009,63.31863346,0
5,3,4,41.39090008,44.70770009,2,49.03796676,66.63543347,1
7,3,4,42.03583342,48.11663343,2,49.22223343,68.84663347,0
8,3,4,41.94370008,50.60423343,2,50.2357001,70.04436681,1
13,3,4,35.6786334,41.85156675,1,45.07623342,65.6219668,1
18,3,4,37.61343341,36.32356674,1,45.35263342,58.61983345,0
19,3,4,34.38876674,35.6786334,1,42.22010008,58.80410012,1
20,3,4,32.82250007,31.16410006,1,40.10103341,54.28956678,0
23,3,4,34.5730334,27.29450005,1,41.85156675,47.65596676,0
24,3,4,33.28316673,20.01596671,1,39.36396675,40.93023342,0
25,3,4,34.38876674,24.16196671,1,41.29876675,43.78636675,0
26,3,4,31.07196673,22.04290004,0,37.61343341,45.99756676,1
28,3,4,29.96636673,18.0811667,0,36.59996674,42.68076675,1
32,3,4,27.84730006,10.98690002,1,34.0202334,34.8494334,2
33,3,4,31.44050006,9.144233352,1,37.15276674,34.0202334,1
34,3,4,28.58436672,7.117300014,2,33.83596673,30.51916673,2
