track_id,query_frame,target_frame,query_x_um,query_y_um,query_z_slice,target_x_um,target_y_um,target_z_slice
0,0,1,40.68700455694451,35.99500403144045,8.0,40.87100457755252,35.16700393870445,8.0
2,0,1,38.801004345712485,32.223003608976406,9.0,38.571004319952486,32.775003670800416,9.0
3,0,1,42.34300474241653,37.09900415508847,8.0,43.07900482484855,36.179004052048455,8.0
4,0,1,44.82700502062456,34.61500387688044,7.0,44.82700502062456,34.707003887184435,7.0
5,0,1,43.44700486606455,32.95900369140842,7.0,43.81500490728055,33.05100370171242,7.0
6,0,1,45.14900505668857,38.20300427873648,8.0,46.621005221552586,37.55900420660848,8.0
8,0,1,48.23100540187261,35.48900397476845,7.0,48.78300546369662,35.62700399022445,7.0
10,0,1,50.66900567492864,37.78900423236848,7.0,51.17500573160065,37.23700417054447,6.0
11,0,1,52.18700584494465,38.939004361168486,5.0,52.50900588100866,38.75500434056048,6.0
13,0,1,50.16300561825663,41.88300469089653,5.0,50.66900567492864,41.65300466513653,7.0
14,0,1,48.875005474000616,40.96300458785653,5.0,49.01300548945662,40.73300456209651,7.0
15,0,1,52.37100586555266,42.98700481454454,5.0,51.61200578054465,42.64200477590454,6.0
16,0,1,57.13827912676,40.67864091964415,5.0,59.74773396447348,40.14336813242087,7.0
17,0,1,40.917004582704514,29.555003310160373,9.0,39.9510044745125,29.095003258640368,9.0
19,0,1,38.065004263280485,26.88700301134434,9.0,38.065004263280485,27.20900304740834,9.0
21,0,1,29.279003279248368,23.5750026404003,12.0,28.313003171056355,22.47100251675229,12.0
22,0,1,33.51100375323242,21.64300242401627,11.0,32.49900363988841,21.50500240856027,12.0
24,0,1,32.54500364504041,20.99900235188827,11.0,31.3950035162404,20.493002295216257,12.0
25,0,1,27.117003037104343,21.87300244977628,11.0,26.42700295982433,20.585002305520263,11.0
27,0,1,25.093002810416312,20.815002331280255,12.0,25.23100282587232,19.11300214065624,12.0
29,0,1,30.429003408048384,18.377002058224235,11.0,30.06100336683238,18.055002022160224,11.0
30,0,1,29.41700329470437,17.50300196033622,11.0,29.555003310160373,16.261001821232206,11.0
31,0,1,27.761003109232348,17.36500194488022,12.0,27.57700308862435,16.72100187275221,12.0
32,0,1,18.515002073680236,15.663001754256198,14.0,17.733001986096223,14.835001661520186,14.0
33,0,1,18.92900212004824,13.915001558480174,14.0,17.319001939728217,13.40900150180817,13.0
35,0,1,24.817002779504318,14.053001573936177,12.0,21.091002362192267,12.443001393616155,13.0
36,0,1,19.987002238544253,11.385001275120144,13.0,19.29700216126425,10.557001182384132,14.0
