track_id,query_frame,target_frame,query_x_um,query_y_um,query_z_slice,target_x_um,target_y_um,target_z_slice
0,3,4,42.61900477332853,36.63900410356846,8.0,46.57500521640059,31.7630035574564,10.0
1,3,4,41.97500470120053,35.16700393870445,9.0,45.10300505153656,30.475003413200387,11.0
3,3,4,44.91900503092857,38.01900425812848,8.0,48.967005484304615,32.49900363988841,9.0
4,3,4,47.679005340048604,36.179004052048455,8.0,51.26700574190465,30.475003413200387,9.0
5,3,4,46.20700517518458,34.89100390779244,7.0,49.05900549460862,29.83100334107237,9.0
7,3,4,49.51900554612863,36.22500405720046,8.0,53.337005973744674,32.085003593520405,9.0
8,3,4,52.18700584494465,36.40900407780845,7.0,55.49900621588869,32.49900363988841,9.0
11,3,4,54.99300615921669,39.21500439208049,8.0,59.36300664865674,34.79900389748844,8.0
12,3,4,55.4070062055847,41.00900459300851,7.0,60.46700677230476,36.40900407780845,8.0
13,3,4,53.93500604072069,43.58500488152056,8.0,59.317006643504754,40.36500452088051,8.0
16,3,4,63.56155257343934,40.94627731325578,6.0,67.04082569039066,35.79427673623172,8.0
17,3,4,41.469004644528525,30.98100346987239,8.0,44.82700502062456,26.28900294436833,10.0
18,3,4,38.70900433540849,31.9010035729124,11.0,42.34300474241654,26.93300301649634,12.0
21,3,4,28.911003238032364,23.7590026610083,13.0,32.453003634736405,19.205002150960244,13.0
22,3,4,35.949004026288456,23.069002583728288,13.0,39.2610043972325,18.33100205307223,13.0
23,3,4,33.649003768688424,21.36700239310427,11.0,37.23700417054447,16.49100184699221,13.0
25,3,4,27.20900304740834,21.64300242401627,11.0,30.88900345956839,16.399001836688207,12.0
26,3,4,27.02500302680034,20.033002243696256,10.0,31.349003511088394,14.743001651216185,12.0
29,3,4,30.429003408048384,19.711002207632244,12.0,33.92500379960043,14.605001635760184,12.0
31,3,4,28.26700316590436,17.82500199640023,12.0,31.5790035368484,12.489001398768158,12.0
32,3,4,19.66500220248025,16.1230018057762,12.0,23.391002619792296,10.741001202992134,12.0
34,3,4,21.505002408560276,17.089001913968215,12.0,24.49500274344031,11.84500132664015,12.0
36,3,4,19.757002212784247,11.569001295728146,11.0,23.62100264555229,7.429000832048094,11.0
37,3,4,19.94100223339225,12.351001383312155,12.0,22.425002511600283,6.877000770224087,12.0
