track_id,query_frame,target_frame,query_x_um,query_y_um,query_z_slice,target_x_um,target_y_um,target_z_slice
0,3,4,54.93027888,54.32809699,2,55.22300618,51.8190058,2
1,3,4,54.80900614,55.3150062,2,55.03900616,53.70500601,2
2,3,4,52.87700592,51.8190058,3,53.38300598,50.07100561,3
3,3,4,54.80900614,56.92500638,2,55.26900619,54.99300616,1
8,3,4,55.03900616,51.03700572,3,55.49900622,48.92100548,3
10,3,4,58.53500656,50.71500568,3,58.99500661,48.55300544,2
11,3,4,58.0290065,52.50900588,3,58.30500653,50.43900565,2
12,3,4,58.30500653,49.19700551,4,58.65000657,47.02350527,4
13,3,4,55.16550618,48.36900542,4,55.61400623,45.67800512,4
14,3,4,58.65000657,46.85100525,4,59.44350666,44.608505,4
16,3,4,58.65000657,44.85000502,5,58.78800658,42.71100478,5
17,3,4,55.68300624,44.78100502,5,55.89000626,43.64250489,5
18,3,4,55.02750616,40.71000456,6,55.30350619,40.12350449,5
21,3,4,54.06150605,37.5360042,6,54.57900611,35.94900403,6
22,3,4,50.07100561,26.01300291,11,49.51900555,25.23100283,11
23,3,4,41.42300464,18.33100205,14,41.1010046,17.73300199,14
24,3,4,48.96700548,25.04700281,11,48.96700548,24.49500274,12
26,3,4,55.3150062,27.39300307,11,55.63700623,25.69100288,11
27,3,4,52.6470059,23.48300263,11,52.55500589,23.52900264,12
28,3,4,53.88900604,25.55300286,11,53.84300603,25.04700281,12
32,3,4,44.78100502,13.22500148,15,45.83900513,13.45500151,16
34,3,4,39.76700445,13.08700147,19,40.59500455,13.54700152,19
35,3,4,47.16882346,38.80518616,3,47.30264166,37.60082239,3
36,3,4,45.96445969,36.26264043,2,46.70045978,35.12518575,2
39,3,4,43.02045936,38.47064067,2,42.48518658,37.4670042,2
48,3,4,45.22845961,33.38554919,4,45.6968233,32.78336731,4
49,3,4,44.62627773,30.44154886,4,44.15791404,28.36736681,4
50,3,4,44.22482313,29.37100329,4,43.75645945,27.49754853,5
51,3,4,39.80882264,32.58264001,3,40.67864092,31.77973083,4
52,3,4,45.42918691,31.57900354,4,45.09464141,30.44154886,4
53,3,4,39.20664075,27.09609394,6,38.87209526,26.15936657,6
55,3,4,42.61900477,25.35645739,6,42.48518658,24.21900271,7
56,3,4,34.79064026,18.13027476,8,34.52300387,16.99282009,9
57,3,4,36.39645862,19.40154763,8,35.92809493,18.13027476,8
58,3,4,31.04373075,20.00372951,9,31.24445804,19.13391123,9
59,3,4,39.87573174,17.39427468,8,39.54118625,16.5244564,8
62,3,4,35.12518575,16.5244564,9,33.251731,15.38700172,11
63,3,4,31.24445804,12.57681959,11,31.84663993,12.175365,11
65,3,4,33.92082198,10.30191024,10,34.25536747,9.432091965,11
66,3,4,30.97682165,10.56954664,10,31.31136714,10.03427385,11
67,3,4,32.9840946,8.963728277,10,32.85027641,7.357909915,11
